state1,state2,distance_km
Hawaii,Texas,5786.01
Hawaii,Utah,4746.78
Hawaii,Vermont,7977.49
Hawaii,Virginia,7591.09
Hawaii,Washington,4413.72
Hawaii,West Virginia,7418.79
Hawaii,Wisconsin,6598.17
Hawaii,Wyoming,5176.78
Idaho,Alabama,2722.2
Idaho,Alaska,3210.91
Idaho,Arizona,1147.11
Idaho,Arkansas,2163.9
Idaho,California,894.87
Idaho,Colorado,959.94
Idaho,Connecticut,3392.27
Idaho,Delaware,3278.66
Idaho,District of Columbia,3161.92
Idaho,Florida,3336.38
Idaho,Georgia,2989.5
Idaho,Hawaii,4676.57
Idaho,Idaho,0.0
Idaho,Illinois,2143.84
Idaho,Indiana,2381.86
Idaho,Iowa,1729.53
Idaho,Kansas,1501.26
Idaho,Kentucky,2565.91
Idaho,Louisiana,2465.92
Idaho,Maine,3539.68
Idaho,Maryland,3173.42
Idaho,Massachusetts,3441.14
Idaho,Michigan,2316.02
Idaho,Minnesota,1602.25
Idaho,Mississippi,2513.01
Idaho,Missouri,1962.47
Idaho,Montana,490.31
Idaho,Nebraska,1247.14
Idaho,Nevada,582.38
Idaho,New Hampshire,3411.07
Idaho,New Jersey,3294.12
Idaho,New Mexico,1323.16
Idaho,New York,3126.99
Idaho,North Carolina,3136.73
Idaho,North Dakota,1148.71
Idaho,Ohio,2644.45
Idaho,Oklahoma,1750.93
Idaho,Oregon,477.86
Idaho,Pennsylvania,3019.29
Idaho,Rhode Island,3482.17
Idaho,South Carolina,3109.77
Idaho,South Dakota,1144.74
Idaho,Tennessee,2571.67
Idaho,Texas,1955.14
Idaho,Utah,611.28
Idaho,Vermont,3315.38
Idaho,Virginia,3079.1
Idaho,Washington,564.34
Idaho,West Virginia,2886.2
Idaho,Wisconsin,1951.12
Idaho,Wyoming,588.85
Illinois,Alabama,833.29
Illinois,Alaska,4804.04
Illinois,Arizona,2088.85
Illinois,Arkansas,639.33
Illinois,California,2642.85
Illinois,Colorado,1408.82
Illinois,Connecticut,1398.02
Illinois,Delaware,1181.99
Illinois,District of Columbia,1054.82
Illinois,Florida,1408.75
Illinois,Georgia,969.58
Illinois,Hawaii,6669.03
Illinois,Idaho,2143.84
Illinois,Illinois,0.0
Illinois,Indiana,249.56
Illinois,Iowa,426.08
Illinois,Kansas,810.58
Illinois,Kentucky,438.03
Illinois,Louisiana,1027.25
Illinois,Maine,1733.06
Illinois,Maryland,1071.04
Illinois,Massachusetts,1477.56
Illinois,Michigan,571.22
Illinois,Minnesota,807.7
Illinois,Mississippi,811.74
Illinois,Missouri,338.16
Illinois,Montana,1818.79
Illinois,Nebraska,909.22
Illinois,Nevada,2345.48
Illinois,New Hampshire,1514.14
Illinois,New Jersey,1236.86
Illinois,New Mexico,1622.94
Illinois,New York,1184.8
Illinois,North Carolina,996.22
Illinois,North Dakota,1223.08
Illinois,Ohio,546.01
Illinois,Oklahoma,881.47
Illinois,Oregon,2618.32
Illinois,Pennsylvania,970.42
Illinois,Rhode Island,1495.69
Illinois,South Carolina,1003.19
Illinois,South Dakota,1032.13
Illinois,Tennessee,527.38
Illinois,Texas,1318.58
Illinois,Utah,1924.85
Illinois,Vermont,1436.69
Illinois,Virginia,940.59
Illinois,Washington,2626.81
Illinois,West Virginia,754.99
Illinois,Wisconsin,513.25
Illinois,Wyoming,1563.45
Indiana,Alabama,791.02
Indiana,Alaska,4959.72
Indiana,Arizona,2332.18
Indiana,Arkansas,777.82
Indiana,California,2892.41
Indiana,Colorado,1658.21
Indiana,Connecticut,1159.26
Indiana,Delaware,932.55
Indiana,District of Columbia,805.26
Indiana,Florida,1297.97
Indiana,Georgia,844.12
Indiana,Hawaii,6918.57
Indiana,Idaho,2381.86
Indiana,Illinois,249.56
Indiana,Indiana,0.0
Indiana,Iowa,653.38
Indiana,Kansas,1055.86
Indiana,Kentucky,275.43
Indiana,Louisiana,1107.41
Indiana,Maine,1520.33
Indiana,Maryland,821.53
Indiana,Massachusetts,1242.69
Indiana,Michigan,499.78
Indiana,Minnesota,963.49
Indiana,Mississippi,850.3
Indiana,Missouri,560.57
Indiana,Montana,2040.04
Indiana,Nebraska,1155.08
Indiana,Nevada,2594.44
Indiana,New Hampshire,1290.2
Indiana,New Jersey,990.55
Indiana,New Mexico,1859.19
Indiana,New York,960.23
Indiana,North Carolina,774.98
Indiana,North Dakota,1415.28
Indiana,Ohio,300.6
Indiana,Oklahoma,1096.63
Indiana,Oregon,2857.82
Indiana,Pennsylvania,728.15
Indiana,Rhode Island,1256.99
Indiana,South Carolina,818.37
Indiana,South Dakota,1256.09
Indiana,Tennessee,448.04
Indiana,Texas,1503.13
Indiana,Utah,2174.27
Indiana,Vermont,1218.06
Indiana,Virginia,697.43
Indiana,Washington,2853.7
Indiana,West Virginia,507.69
Indiana,Wisconsin,608.03
Indiana,Wyoming,1805.37
Iowa,Alabama,1187.6
Iowa,Alaska,4410.58
Iowa,Arizona,1806.55
Iowa,Arkansas,802.43
Iowa,California,2285.44
Iowa,Colorado,1075.61
Iowa,Connecticut,1721.27
Iowa,Delaware,1559.19
Iowa,District of Columbia,1438.23
Iowa,Florida,1794.56
Iowa,Georgia,1372.5
Iowa,Hawaii,6307.02
Iowa,Idaho,1729.53
Iowa,Illinois,426.08
Iowa,Indiana,653.38
Iowa,Iowa,0.0
Iowa,Kansas,574.85
Iowa,Kentucky,863.35
Iowa,Louisiana,1228.65
Iowa,Maine,1980.39
Iowa,Maryland,1451.31
Iowa,Massachusetts,1787.39
Iowa,Michigan,703.48
Iowa,Minnesota,471.76
Iowa,Mississippi,1090.15
Iowa,Missouri,422.24
Iowa,Montana,1392.85
Iowa,Nebraska,526.73
Iowa,Nevada,1972.64
Iowa,New Hampshire,1794.09
Iowa,New Jersey,1591.0
Iowa,New Mexico,1391.87
Iowa,New York,1477.11
Iowa,North Carolina,1420.36
Iowa,North Dakota,812.53
Iowa,Ohio,919.02
Iowa,Oklahoma,799.13
Iowa,Oregon,2206.22
Iowa,Pennsylvania,1315.91
Iowa,Rhode Island,1816.8
Iowa,South Carolina,1427.26
Iowa,South Dakota,606.3
Iowa,Tennessee,926.58
Iowa,Texas,1285.61
Iowa,Utah,1563.55
Iowa,Vermont,1706.27
Iowa,Virginia,1349.87
Iowa,Washington,2202.58
Iowa,West Virginia,1156.72
Iowa,Wisconsin,400.95
Iowa,Wyoming,1157.83
Kansas,Alabama,1221.95
Kansas,Alaska,4502.52
Kansas,Arizona,1278.67
Kansas,Arkansas,663.96
Kansas,California,1857.97
Kansas,Colorado,625.44
Kansas,Connecticut,2207.76
Kansas,Delaware,1984.33
Kansas,District of Columbia,1854.9
Kansas,Florida,1835.24
Kansas,Georgia,1499.26
Kansas,Hawaii,5876.02
Kansas,Idaho,1501.26
Kansas,Illinois,810.58
Kansas,Indiana,1055.86
Kansas,Iowa,574.85
Kansas,Kansas,0.0
Kansas,Kentucky,1152.42
Kansas,Louisiana,1009.24
Kansas,Maine,2518.46
Kansas,Maryland,1872.77
Kansas,Massachusetts,2285.28
Kansas,Michigan,1261.99
Kansas,Minnesota,927.46
Kansas,Mississippi,1014.59
